input_image,prompt,height,width,bucket,case_group,prompt_style,cat_id,action_order
images_480x832/ragdoll_cat_832x480_no_distortion.png,视频首帧是一只布偶猫，毛发蓬松柔软，奶白色身体，脸部和耳朵带灰褐色重点色，蓝色眼睛清澈明亮，体态匀称优雅。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。4-5秒：猫咪保持稳定坐姿，准备下一次互动。5-7秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。7-8秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。8-10.54秒：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,ragdoll_jump_then_toy,absolute_timeline,ragdoll,jump_then_toy
images_480x832/ragdoll_cat_832x480_no_distortion.png,视频首帧是一只布偶猫，毛发蓬松柔软，奶白色身体，脸部和耳朵带灰褐色重点色，蓝色眼睛清澈明亮，体态匀称优雅。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。开始时，猫咪保持初始标准直立蹲坐。先进行跳跃：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。恢复坐姿：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。短暂停顿：猫咪保持稳定坐姿，准备下一次互动。随后玩逗猫棒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。恢复最终坐姿：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。剩余视频保持静止：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,ragdoll_jump_then_toy,sequential,ragdoll,jump_then_toy
images_480x832/ragdoll_cat_832x480_no_distortion.png,视频首帧是一只布偶猫，毛发蓬松柔软，奶白色身体，脸部和耳朵带灰褐色重点色，蓝色眼睛清澈明亮，体态匀称优雅。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。第一阶段（相对于该阶段起点）：0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。短暂停顿后进入第二阶段（重新以该阶段起点为0秒）：0-1秒：猫咪保持稳定坐姿，准备下一次互动。1-3秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。3-4秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。剩余视频保持静止：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,ragdoll_jump_then_toy,phase_relative,ragdoll,jump_then_toy
images_480x832/russian_forest_cat_480x832_no_distortion.png,视频首帧是一只俄罗斯森林长毛猫，棕褐色长毛蓬松细腻并带深色虎斑纹，浅绿色眼睛明亮，体态匀称结实。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。4-5秒：猫咪保持稳定坐姿，准备下一次互动。5-7秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。7-8秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。8-10.54秒：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,480,832,landscape,russian_forest_jump_then_toy,absolute_timeline,russian_forest,jump_then_toy
images_480x832/russian_forest_cat_480x832_no_distortion.png,视频首帧是一只俄罗斯森林长毛猫，棕褐色长毛蓬松细腻并带深色虎斑纹，浅绿色眼睛明亮，体态匀称结实。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。开始时，猫咪保持初始标准直立蹲坐。先进行跳跃：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。恢复坐姿：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。短暂停顿：猫咪保持稳定坐姿，准备下一次互动。随后玩逗猫棒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。恢复最终坐姿：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。剩余视频保持静止：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,480,832,landscape,russian_forest_jump_then_toy,sequential,russian_forest,jump_then_toy
images_480x832/russian_forest_cat_480x832_no_distortion.png,视频首帧是一只俄罗斯森林长毛猫，棕褐色长毛蓬松细腻并带深色虎斑纹，浅绿色眼睛明亮，体态匀称结实。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。第一阶段（相对于该阶段起点）：0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。短暂停顿后进入第二阶段（重新以该阶段起点为0秒）：0-1秒：猫咪保持稳定坐姿，准备下一次互动。1-3秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。3-4秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。剩余视频保持静止：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,480,832,landscape,russian_forest_jump_then_toy,phase_relative,russian_forest,jump_then_toy
images_480x832/siamese_cat_832x480_no_distortion.png,视频首帧是一只暹罗猫，奶油色短毛浓密顺滑，脸部、耳朵、四肢和尾巴呈深褐色重点色，蓝色眼睛明亮，体态修长匀称。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。4-5秒：猫咪保持稳定坐姿，准备下一次互动。5-7秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。7-8秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。8-10.54秒：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,siamese_jump_then_toy,absolute_timeline,siamese,jump_then_toy
images_480x832/siamese_cat_832x480_no_distortion.png,视频首帧是一只暹罗猫，奶油色短毛浓密顺滑，脸部、耳朵、四肢和尾巴呈深褐色重点色，蓝色眼睛明亮，体态修长匀称。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。开始时，猫咪保持初始标准直立蹲坐。先进行跳跃：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。恢复坐姿：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。短暂停顿：猫咪保持稳定坐姿，准备下一次互动。随后玩逗猫棒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。恢复最终坐姿：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。剩余视频保持静止：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,siamese_jump_then_toy,sequential,siamese,jump_then_toy
images_480x832/siamese_cat_832x480_no_distortion.png,视频首帧是一只暹罗猫，奶油色短毛浓密顺滑，脸部、耳朵、四肢和尾巴呈深褐色重点色，蓝色眼睛明亮，体态修长匀称。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。第一阶段（相对于该阶段起点）：0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。短暂停顿后进入第二阶段（重新以该阶段起点为0秒）：0-1秒：猫咪保持稳定坐姿，准备下一次互动。1-3秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。3-4秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。剩余视频保持静止：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,siamese_jump_then_toy,phase_relative,siamese,jump_then_toy
images_480x832/tabby_cat_832x480_no_distortion.png,视频首帧是一只狸花猫，棕灰色短毛浓密顺滑并带清晰黑色虎斑纹，黄绿色眼睛明亮，体态圆润匀称。全程摄像机静止，纯白背景，全景构图，猫咪始终居中。0-1秒：猫咪保持初始标准直立蹲坐。1-3秒：猫咪被前上方目标吸引，身体轻微前倾，后腿发力，完成一次自然小幅跳跃，前爪向前伸出，身体保持协调。3-4秒：猫咪落地后收回前爪并平滑恢复标准直立蹲坐。4-5秒：猫咪保持稳定坐姿，准备下一次互动。5-7秒：主人在镜头前方轻轻晃动逗猫棒，猫咪目光自然跟随，先抬一只前爪试探，再用两只前爪交替轻快扑抓，身体主要保持坐姿。7-8秒：互动结束后猫咪收回前爪并平滑恢复最终标准直立蹲坐。8-10.54秒：完成第二个动作并恢复坐姿后，猫咪继续注视镜头前方，身体、四肢和尾巴保持最终稳定状态直到视频结束。视频全过程中，猫咪的整个身体、四肢和尾巴必须始终100%留在画面内。,832,480,portrait,tabby_jump_then_toy,absolute_timeline,tabby,jump_then_toy
